subjID,delay_later,amount_later,delay_sooner,amount_sooner,choice,rt,AQ_score,RSQ_score,IRI_score,RSE_score,MSPSS_score,Day
R_40914,70,25,0,16,1,1.628,11,92,61,24,5.833333333,1
R_40914,67,30,0,18,1,1.192,11,92,61,24,5.833333333,1
R_40914,20,25,0,19,1,1.377,11,92,61,24,5.833333333,1
R_40914,171,30,0,21,0,1.759,11,92,61,24,5.833333333,1
R_40914,4,35,0,25,1,1.244,11,92,61,24,5.833333333,1
R_40914,3,35,0,30,1,1.375,11,92,61,24,5.833333333,1
R_40914,59,35,0,32,0,1.36,11,92,61,24,5.833333333,1
R_40914,42,35,0,30,0,1.393,11,92,61,24,5.833333333,1
R_40914,158,30,0,15,1,0.926,11,92,61,24,5.833333333,1
R_40914,129,35,0,31,0,1.276,11,92,61,24,5.833333333,1
R_40914,27,35,0,13,1,1.626,11,92,61,24,5.833333333,1
R_40914,9,25,0,17,1,0.826,11,92,61,24,5.833333333,1
R_37050,5,25,0,11,1,3.196,16,81,80,16,5.916666667,1
R_37050,11,30,0,11,1,5.453,16,81,80,16,5.916666667,1
R_37050,38,30,0,12,0,4.649,16,81,80,16,5.916666667,1
R_37050,76,35,0,12,1,3.541,16,81,80,16,5.916666667,1
R_37050,113,25,0,16,0,2.896,16,81,80,16,5.916666667,1
R_37050,70,25,0,16,0,3.546,16,81,80,16,5.916666667,1
R_37050,67,30,0,18,1,4.178,16,81,80,16,5.916666667,1
R_37050,20,25,0,19,1,2.58,16,81,80,16,5.916666667,1
R_37050,171,30,0,21,0,1.579,16,81,80,16,5.916666667,1
R_37050,4,35,0,25,0,1.567,16,81,80,16,5.916666667,1
R_37050,3,35,0,30,1,2.564,16,81,80,16,5.916666667,1
R_37050,59,35,0,32,0,2.279,16,81,80,16,5.916666667,1
R_37050,42,35,0,30,0,1.548,16,81,80,16,5.916666667,1
R_37050,158,30,0,15,0,1.146,16,81,80,16,5.916666667,1
R_37050,129,35,0,31,0,1.645,16,81,80,16,5.916666667,1
R_37050,27,35,0,13,1,1.676,16,81,80,16,5.916666667,1
R_37050,9,25,0,17,1,2.912,16,81,80,16,5.916666667,1
