8.3079 	EXP 	window1: blendMode = 'avg'
8.3236 	EXP 	window1: blendMode = 'avg'
8.3413 	EXP 	window1: blendMode = 'avg'
8.3560 	EXP 	window1: blendMode = 'avg'
8.3740 	EXP 	window1: blendMode = 'avg'
8.3902 	EXP 	window1: blendMode = 'avg'
8.4073 	EXP 	window1: blendMode = 'avg'
8.4244 	EXP 	window1: blendMode = 'avg'
8.4413 	EXP 	window1: blendMode = 'avg'
8.4576 	EXP 	window1: blendMode = 'avg'
8.4746 	EXP 	window1: blendMode = 'avg'
8.4911 	EXP 	window1: blendMode = 'avg'
8.5055 	EXP 	window1: blendMode = 'avg'
8.5243 	EXP 	window1: blendMode = 'avg'
8.5410 	EXP 	window1: blendMode = 'avg'
8.5579 	EXP 	window1: blendMode = 'avg'
8.5745 	EXP 	window1: blendMode = 'avg'
8.5909 	EXP 	window1: blendMode = 'avg'
8.6075 	EXP 	window1: blendMode = 'avg'
8.6243 	EXP 	window1: blendMode = 'avg'
8.6337 	DATA 	Keypress: space
8.6436 	EXP 	window1: blendMode = 'avg'
8.6624 	EXP 	window1: blendMode = 'avg'
8.6796 	EXP 	window1: blendMode = 'avg'
8.6960 	EXP 	window1: blendMode = 'avg'
8.7122 	EXP 	window1: blendMode = 'avg'
8.7302 	EXP 	window1: blendMode = 'avg'
8.7456 	EXP 	window1: blendMode = 'avg'
8.7627 	EXP 	window1: blendMode = 'avg'
8.7795 	EXP 	window1: blendMode = 'avg'
8.7959 	EXP 	window1: blendMode = 'avg'
8.8125 	EXP 	window1: blendMode = 'avg'
8.8295 	EXP 	window1: blendMode = 'avg'
8.8461 	EXP 	window1: blendMode = 'avg'
8.8628 	EXP 	window1: blendMode = 'avg'
8.8794 	EXP 	window1: blendMode = 'avg'
8.8961 	EXP 	window1: blendMode = 'avg'
8.9127 	EXP 	window1: blendMode = 'avg'
8.9295 	EXP 	window1: blendMode = 'avg'
8.9466 	EXP 	window1: blendMode = 'avg'
8.9621 	EXP 	window1: blendMode = 'avg'
8.9799 	EXP 	window1: blendMode = 'avg'
8.9970 	EXP 	window1: blendMode = 'avg'
9.0125 	EXP 	window1: blendMode = 'avg'
9.0299 	EXP 	window1: blendMode = 'avg'
9.0467 	EXP 	window1: blendMode = 'avg'
9.0631 	EXP 	window1: blendMode = 'avg'
9.0802 	EXP 	window1: blendMode = 'avg'
9.0953 	EXP 	window1: blendMode = 'avg'
9.1130 	EXP 	window1: blendMode = 'avg'
9.1297 	EXP 	window1: blendMode = 'avg'
9.1477 	DATA 	Keypress: 1
9.2384 	EXP 	window1: blendMode = 'avg'
9.2568 	EXP 	InstrText: autoDraw = False
9.2568 	EXP 	scalePic: image = 'stim/Smile_1.jpg'
9.2568 	EXP 	text_3: autoDraw = True
9.2575 	EXP 	window1: blendMode = 'avg'
9.2741 	EXP 	window1: blendMode = 'avg'
9.2898 	EXP 	window1: blendMode = 'avg'
9.3085 	EXP 	window1: blendMode = 'avg'
9.3241 	EXP 	window1: blendMode = 'avg'
9.3404 	EXP 	window1: blendMode = 'avg'
9.3574 	EXP 	window1: blendMode = 'avg'
9.3741 	EXP 	window1: blendMode = 'avg'
9.3907 	EXP 	window1: blendMode = 'avg'
9.4080 	EXP 	window1: blendMode = 'avg'
9.4239 	EXP 	window1: blendMode = 'avg'
9.4404 	EXP 	window1: blendMode = 'avg'
9.4560 	EXP 	window1: blendMode = 'avg'
9.4736 	EXP 	window1: blendMode = 'avg'
9.4905 	EXP 	window1: blendMode = 'avg'
9.5078 	EXP 	window1: blendMode = 'avg'
9.5242 	EXP 	window1: blendMode = 'avg'
9.5404 	EXP 	window1: blendMode = 'avg'
9.5579 	EXP 	window1: blendMode = 'avg'
9.5737 	EXP 	window1: blendMode = 'avg'
9.5913 	EXP 	window1: blendMode = 'avg'
9.6076 	EXP 	window1: blendMode = 'avg'
9.6245 	EXP 	window1: blendMode = 'avg'
9.6369 	EXP 	window1: blendMode = 'avg'
9.6435 	EXP 	window1: blendMode = 'avg'
9.6619 	EXP 	window1: blendMode = 'avg'
9.6806 	DATA 	Keypress: 1
9.6813 	EXP 	window1: blendMode = 'avg'
9.6952 	EXP 	window1: blendMode = 'avg'
9.7121 	EXP 	window1: blendMode = 'avg'
9.7279 	EXP 	window1: blendMode = 'avg'
9.7461 	EXP 	window1: blendMode = 'avg'
9.7650 	EXP 	window1: blendMode = 'avg'
9.7795 	EXP 	window1: blendMode = 'avg'
9.7964 	EXP 	window1: blendMode = 'avg'
9.8126 	EXP 	window1: blendMode = 'avg'
9.8292 	EXP 	window1: blendMode = 'avg'
9.8449 	EXP 	window1: blendMode = 'avg'
9.8630 	EXP 	window1: blendMode = 'avg'
9.8795 	EXP 	window1: blendMode = 'avg'
9.8957 	EXP 	window1: blendMode = 'avg'
9.9135 	EXP 	window1: blendMode = 'avg'
9.9293 	EXP 	window1: blendMode = 'avg'
9.9440 	EXP 	window1: blendMode = 'avg'
9.9617 	EXP 	window1: blendMode = 'avg'
9.9780 	EXP 	window1: blendMode = 'avg'
9.9982 	DATA 	Keypress: 1
9.9991 	EXP 	window1: blendMode = 'avg'
10.0116 	EXP 	window1: blendMode = 'avg'
10.0281 	EXP 	window1: blendMode = 'avg'
10.0455 	EXP 	window1: blendMode = 'avg'
10.0635 	EXP 	window1: blendMode = 'avg'
10.0795 	EXP 	window1: blendMode = 'avg'
10.0963 	EXP 	window1: blendMode = 'avg'
10.1135 	EXP 	window1: blendMode = 'avg'
10.1295 	EXP 	window1: blendMode = 'avg'
10.1464 	DATA 	Keypress: 1
10.1472 	EXP 	window1: blendMode = 'avg'
10.1629 	EXP 	window1: blendMode = 'avg'
10.1793 	EXP 	window1: blendMode = 'avg'
10.1958 	EXP 	window1: blendMode = 'avg'
10.2128 	EXP 	window1: blendMode = 'avg'
10.2294 	EXP 	window1: blendMode = 'avg'
10.2464 	EXP 	window1: blendMode = 'avg'
10.2643 	EXP 	window1: blendMode = 'avg'
10.2797 	EXP 	window1: blendMode = 'avg'
10.2969 	EXP 	window1: blendMode = 'avg'
10.3130 	EXP 	window1: blendMode = 'avg'
10.3271 	EXP 	window1: blendMode = 'avg'
10.3441 	EXP 	window1: blendMode = 'avg'
10.3613 	EXP 	window1: blendMode = 'avg'
10.3779 	EXP 	window1: blendMode = 'avg'
10.3961 	EXP 	window1: blendMode = 'avg'
10.4136 	EXP 	window1: blendMode = 'avg'
10.4295 	EXP 	window1: blendMode = 'avg'
10.4459 	EXP 	window1: blendMode = 'avg'
10.4627 	EXP 	window1: blendMode = 'avg'
10.4797 	EXP 	window1: blendMode = 'avg'
10.4963 	EXP 	window1: blendMode = 'avg'
10.5133 	EXP 	window1: blendMode = 'avg'
10.5295 	EXP 	window1: blendMode = 'avg'
10.5463 	EXP 	window1: blendMode = 'avg'
10.5629 	EXP 	window1: blendMode = 'avg'
10.5797 	EXP 	window1: blendMode = 'avg'
10.5964 	EXP 	window1: blendMode = 'avg'
10.6129 	EXP 	window1: blendMode = 'avg'
10.6295 	EXP 	window1: blendMode = 'avg'
10.6472 	EXP 	window1: blendMode = 'avg'
10.6632 	EXP 	window1: blendMode = 'avg'
10.6795 	EXP 	window1: blendMode = 'avg'
10.6962 	EXP 	window1: blendMode = 'avg'
10.7123 	EXP 	window1: blendMode = 'avg'
10.7294 	EXP 	window1: blendMode = 'avg'
10.7463 	EXP 	window1: blendMode = 'avg'
10.7627 	EXP 	window1: blendMode = 'avg'
10.7795 	EXP 	window1: blendMode = 'avg'
10.7966 	EXP 	window1: blendMode = 'avg'
10.8130 	EXP 	window1: blendMode = 'avg'
10.8294 	EXP 	window1: blendMode = 'avg'
10.8446 	EXP 	window1: blendMode = 'avg'
10.8645 	EXP 	window1: blendMode = 'avg'
10.8794 	EXP 	window1: blendMode = 'avg'
10.8968 	EXP 	window1: blendMode = 'avg'
10.9130 	EXP 	window1: blendMode = 'avg'
10.9292 	EXP 	window1: blendMode = 'avg'
10.9463 	EXP 	window1: blendMode = 'avg'
10.9633 	EXP 	window1: blendMode = 'avg'
10.9796 	EXP 	window1: blendMode = 'avg'
10.9969 	EXP 	window1: blendMode = 'avg'
11.0128 	EXP 	window1: blendMode = 'avg'
11.0291 	EXP 	window1: blendMode = 'avg'
11.0460 	EXP 	window1: blendMode = 'avg'
11.0625 	EXP 	window1: blendMode = 'avg'
11.0796 	EXP 	window1: blendMode = 'avg'
11.0967 	EXP 	window1: blendMode = 'avg'
11.1117 	EXP 	window1: blendMode = 'avg'
11.1295 	EXP 	window1: blendMode = 'avg'
11.1466 	EXP 	window1: blendMode = 'avg'
11.1630 	EXP 	window1: blendMode = 'avg'
11.1799 	EXP 	window1: blendMode = 'avg'
11.1964 	EXP 	window1: blendMode = 'avg'
11.2127 	EXP 	window1: blendMode = 'avg'
11.2292 	EXP 	window1: blendMode = 'avg'
11.2462 	EXP 	window1: blendMode = 'avg'
11.2628 	EXP 	window1: blendMode = 'avg'
11.2801 	EXP 	window1: blendMode = 'avg'
11.2964 	EXP 	window1: blendMode = 'avg'
11.3128 	EXP 	window1: blendMode = 'avg'
11.3307 	EXP 	window1: blendMode = 'avg'
11.3463 	EXP 	window1: blendMode = 'avg'
11.3624 	EXP 	window1: blendMode = 'avg'
11.3797 	EXP 	window1: blendMode = 'avg'
11.3962 	EXP 	window1: blendMode = 'avg'
11.4129 	EXP 	window1: blendMode = 'avg'
11.4278 	EXP 	window1: blendMode = 'avg'
11.4436 	EXP 	window1: blendMode = 'avg'
11.4608 	EXP 	window1: blendMode = 'avg'
11.4767 	EXP 	window1: blendMode = 'avg'
11.4943 	EXP 	window1: blendMode = 'avg'
11.5114 	EXP 	window1: blendMode = 'avg'
11.5295 	EXP 	window1: blendMode = 'avg'
11.5464 	EXP 	window1: blendMode = 'avg'
11.5633 	EXP 	window1: blendMode = 'avg'
11.5796 	EXP 	window1: blendMode = 'avg'
11.5961 	EXP 	window1: blendMode = 'avg'
11.6120 	EXP 	window1: blendMode = 'avg'
11.6297 	EXP 	window1: blendMode = 'avg'
11.6479 	EXP 	window1: blendMode = 'avg'
11.6631 	EXP 	window1: blendMode = 'avg'
11.6800 	EXP 	window1: blendMode = 'avg'
11.6965 	EXP 	window1: blendMode = 'avg'
11.7130 	EXP 	window1: blendMode = 'avg'
